,leader,lagger,strength,optimal_lag,persistence,direction
1,TTWO,STNG,0.5880935847827958,1,1.0,TTWO → STNG
2,RVLV,SJM,0.5871138907258192,1,1.0,RVLV → SJM
3,RUN,LMT,0.5813330153985083,5,1.0,RUN → LMT
4,SFM,UPWK,0.5810812547564765,4,1.0,SFM → UPWK
5,EIX,FSLY,0.5779930234896162,5,1.0,EIX → FSLY
6,XOM,FSLY,0.5775382125032213,4,1.0,XOM → FSLY
7,BMY,PLUG,0.5766076898085808,2,1.0,BMY → PLUG
8,TNDM,SO,0.5752725170215961,3,1.0,TNDM → SO
9,LHX,FSLY,0.575123068069945,4,1.0,LHX → FSLY
10,TTWO,DHT,0.5731335511182117,4,1.0,TTWO → DHT
